Date,Ticker,Adj_Close,Sector,Daily_return
2020-01-02,AAPL,72.27155303955078,Information Technology,
2020-01-03,AAPL,71.56890869140625,Information Technology,-0.009722281016432688
2020-01-06,AAPL,72.1391830444336,Information Technology,0.007968185675238937
2020-01-07,AAPL,71.79993438720703,Information Technology,-0.004702696134188389
2020-01-08,AAPL,72.95490264892578,Information Technology,0.016085923637341626
2020-01-09,AAPL,74.50452423095703,Information Technology,0.02124081488379681
2020-01-10,AAPL,74.67296600341797,Information Technology,0.0022608260934433577
2020-01-13,AAPL,76.2682876586914,Information Technology,0.02136411261875426
2020-01-14,AAPL,75.23844909667969,Information Technology,-0.013502841005430088
2020-01-15,AAPL,74.9159927368164,Information Technology,-0.004285792221061513
2020-01-16,AAPL,75.85444641113281,Information Technology,0.012526746827119295
2020-01-17,AAPL,76.69422149658203,Information Technology,0.011070874881844439
2020-01-21,AAPL,76.17449188232422,Information Technology,-0.006776646325055591
2020-01-22,AAPL,76.44638061523438,Information Technology,0.003569288434902562
2020-01-23,AAPL,76.81452941894531,Information Technology,0.00481577807540523
2020-01-24,AAPL,76.59314727783203,Information Technology,-0.0028820347242625166
2020-01-27,AAPL,74.3409194946289,Information Technology,-0.02940508208956938
2020-01-28,AAPL,76.44397735595703,Information Technology,0.0282893711246075
2020-01-29,AAPL,78.04412078857422,Information Technology,0.02093223675641842
2020-01-30,AAPL,77.9310073852539,Information Technology,-0.001449352009829763
2020-01-31,AAPL,74.47566986083984,Information Technology,-0.04433841727892096
2020-02-03,AAPL,74.27114868164062,Information Technology,-0.0027461475617658326
2020-02-04,AAPL,76.72310638427734,Information Technology,0.033013596075468055
2020-02-05,AAPL,77.34874725341797,Information Technology,0.008154529953558143
2020-02-06,AAPL,78.25346374511719,Information Technology,0.011696588811388242
2020-02-07,AAPL,77.18978881835938,Information Technology,-0.013592688116942031
2020-02-10,AAPL,77.55638885498047,Information Technology,0.004749333328061933
2020-02-11,AAPL,77.0884780883789,Information Technology,-0.0060331685565774285
2020-02-12,AAPL,78.9191665649414,Information Technology,0.02374788712865339
2020-02-13,AAPL,78.357177734375,Information Technology,-0.00712106900044307
2020-02-14,AAPL,78.37648010253906,Information Technology,0.00024633822608444156
2020-02-18,AAPL,76.94136047363281,Information Technology,-0.01831059046066752
2020-02-19,AAPL,78.0556869506836,Information Technology,0.014482801840144832
2020-02-20,AAPL,77.25492095947266,Information Technology,-0.01025890646144556
2020-02-21,AAPL,75.50623321533203,Information Technology,-0.02263529264443842
2020-02-24,AAPL,71.91966247558594,Information Technology,-0.04750032662227699
2020-02-25,AAPL,69.48359680175781,Information Technology,-0.03387203985634779
2020-02-26,AAPL,70.58584594726562,Information Technology,0.015863443981643854
2020-02-27,AAPL,65.97179412841797,Information Technology,-0.06536794674522695
2020-02-28,AAPL,65.9332046508789,Information Technology,-0.000584939034156684
2020-03-02,AAPL,72.07162475585938,Information Technology,0.0931005877460962
2020-03-03,AAPL,69.78267669677734,Information Technology,-0.03175935143457331
2020-03-04,AAPL,73.01951599121094,Information Technology,0.04638456774162503
2020-03-05,AAPL,70.6509780883789,Information Technology,-0.03243705289853094
2020-03-06,AAPL,69.71272277832031,Information Technology,-0.013280146084954536
2020-03-09,AAPL,64.19900512695312,Information Technology,-0.07909198538838136
2020-03-10,AAPL,68.82270812988281,Information Technology,0.072021412073074
2020-03-11,AAPL,66.43247985839844,Information Technology,-0.03473022693285355
2020-03-12,AAPL,59.87195587158203,Information Technology,-0.09875476575314113
2020-03-13,AAPL,67.04512023925781,Information Technology,0.11980841887078708
2020-03-16,AAPL,58.419960021972656,Information Technology,-0.1286470989462818
2020-03-17,AAPL,60.98868942260742,Information Technology,0.04397006433535089
2020-03-18,AAPL,59.49568176269531,Information Technology,-0.024480074486707637
2020-03-19,AAPL,59.03982925415039,Information Technology,-0.0076619427669244455
2020-03-20,AAPL,55.291656494140625,Information Technology,-0.06348549457815844
2020-03-23,AAPL,54.11703872680664,Information Technology,-0.021244032857985706
2020-03-24,AAPL,59.54634475708008,Information Technology,0.10032526091609761
2020-03-25,AAPL,59.21831512451172,Information Technology,-0.0055088122353531555
2020-03-26,AAPL,62.334556579589844,Information Technology,0.052622933437500796
2020-03-27,AAPL,59.75376892089844,Information Technology,-0.04140219807926626
2020-03-30,AAPL,61.45901870727539,Information Technology,0.028537945257216313
2020-03-31,AAPL,61.33361053466797,Information Technology,-0.002040517002146247
2020-04-01,AAPL,58.10639953613281,Information Technology,-0.0526173328196784
2020-04-02,AAPL,59.07600784301758,Information Technology,0.01668677313730016
2020-04-03,AAPL,58.22700119018555,Information Technology,-0.014371429008677938
2020-04-06,AAPL,63.30659103393555,Information Technology,0.08723770312605739
2020-04-07,AAPL,62.57334899902344,Information Technology,-0.01158239644461434
2020-04-08,AAPL,64.17487335205078,Information Technology,0.02559435252622233
2020-04-09,AAPL,64.63797760009766,Information Technology,0.007216286123485904
2020-04-13,AAPL,65.90667724609375,Information Technology,0.01962777446171482
2020-04-14,AAPL,69.23515319824219,Information Technology,0.05050286391650416
2020-04-15,AAPL,68.60323333740234,Information Technology,-0.00912715335561487
2020-04-16,AAPL,69.1483383178711,Information Technology,0.007945762232340225
2020-04-17,AAPL,68.21006774902344,Information Technology,-0.013568953234052827
2020-04-20,AAPL,66.79425811767578,Information Technology,-0.02075660790364664
2020-04-21,AAPL,64.72962188720703,Information Technology,-0.030910384944037306
2020-04-22,AAPL,66.59406280517578,Information Technology,0.02880351937197445
2020-04-23,AAPL,66.33597564697266,Information Technology,-0.003875528047570409
2020-04-24,AAPL,68.25109100341797,Information Technology,0.028869935774174627
2020-04-27,AAPL,68.29932403564453,Information Technology,0.0007066997980171852
2020-04-28,AAPL,67.1922378540039,Information Technology,-0.016209328529559808
2020-04-29,AAPL,69.39918518066406,Information Technology,0.03284527197107856
2020-04-30,AAPL,70.86322021484375,Information Technology,0.02109585336439368
2020-05-01,AAPL,69.72239685058594,Information Technology,-0.01609894894416386
2020-05-04,AAPL,70.70887756347656,Information Technology,0.014148691918963063
2020-05-05,AAPL,71.7701416015625,Information Technology,0.015008922141823255
2020-05-06,AAPL,72.51058959960938,Information Technology,0.010316936563362633
2020-05-07,AAPL,73.26071166992188,Information Technology,0.010345000288296324
2020-05-08,AAPL,75.00443267822266,Information Technology,0.023801584349291582
2020-05-11,AAPL,76.18465423583984,Information Technology,0.01573535743787935
2020-05-12,AAPL,75.31402587890625,Information Technology,-0.01142787042438298
2020-05-13,AAPL,74.4046630859375,Information Technology,-0.012074282079022947
2020-05-14,AAPL,74.86175537109375,Information Technology,0.006143328471608145
2020-05-15,AAPL,74.419189453125,Information Technology,-0.005911775856375923
2020-05-18,AAPL,76.17256927490234,Information Technology,0.02356085620741344
2020-05-19,AAPL,75.7323989868164,Information Technology,-0.005778593163864421
2020-05-20,AAPL,77.20527648925781,Information Technology,0.019448446400038177
2020-05-21,AAPL,76.6296615600586,Information Technology,-0.007455642352104164
2020-05-22,AAPL,77.12303924560547,Information Technology,0.0064384688057141926
2020-05-26,AAPL,76.60063934326172,Information Technology,-0.006773590712369604
2020-05-27,AAPL,76.93438720703125,Information Technology,0.004356985354573073
2020-05-28,AAPL,76.96825408935547,Information Technology,0.00044020474528627673
2020-05-29,AAPL,76.89328002929688,Information Technology,-0.0009740906942172778
2020-06-01,AAPL,77.8388900756836,Information Technology,0.012297694233181833
2020-06-02,AAPL,78.19924926757812,Information Technology,0.004629552034261408
2020-06-03,AAPL,78.62974548339844,Information Technology,0.005505119548491644
2020-06-04,AAPL,77.95258331298828,Information Technology,-0.00861203563927504
2020-06-05,AAPL,80.17274475097656,Information Technology,0.02848092190959317
2020-06-08,AAPL,80.64676666259766,Information Technology,0.005912506963475561
2020-06-09,AAPL,83.19340515136719,Information Technology,0.03157768865581323
2020-06-10,AAPL,85.33377838134766,Information Technology,0.025727679088097588
2020-06-11,AAPL,81.23686218261719,Information Technology,-0.048010486309674305
2020-06-12,AAPL,81.9382553100586,Information Technology,0.0086339268725657
2020-06-15,AAPL,82.95159149169922,Information Technology,0.012367070519211154
2020-06-16,AAPL,85.14997863769531,Information Technology,0.02650204904406306
2020-06-17,AAPL,85.03146362304688,Information Technology,-0.0013918384542725981
2020-06-18,AAPL,85.06533813476562,Information Technology,0.000398376204235662
2020-06-19,AAPL,84.57921600341797,Information Technology,-0.0057146911069407835
2020-06-22,AAPL,86.79212951660156,Information Technology,0.02616379788971046
2020-06-23,AAPL,88.64468383789062,Information Technology,0.021344727126838325
2020-06-24,AAPL,87.07994842529297,Information Technology,-0.017651768214991592
2020-06-25,AAPL,88.2359619140625,Information Technology,0.013275312051445276
2020-06-26,AAPL,85.52483367919922,Information Technology,-0.03072588745055882
2020-06-29,AAPL,87.49591827392578,Information Technology,0.023046926955976765
2020-06-30,AAPL,88.2262954711914,Information Technology,0.008347557368093561
2020-07-01,AAPL,88.0594482421875,Information Technology,-0.0018911281281031034
2020-07-02,AAPL,88.0594482421875,Information Technology,0.0
2020-07-06,AAPL,90.41504669189453,Information Technology,0.02675009322371058
2020-07-07,AAPL,90.1344985961914,Information Technology,-0.0031028916753108593
2020-07-08,AAPL,92.2337417602539,Information Technology,0.02329011862003294
2020-07-09,AAPL,92.63034057617188,Information Technology,0.004299931980954019
2020-07-10,AAPL,92.79240417480469,Information Technology,0.0017495736021777564
2020-07-13,AAPL,92.36432647705078,Information Technology,-0.004613283830295911
2020-07-14,AAPL,93.8927993774414,Information Technology,0.016548303427193822
2020-07-15,AAPL,94.53854370117188,Information Technology,0.006877463746017831
2020-07-16,AAPL,93.37525939941406,Information Technology,-0.012304868006374758
2020-07-17,AAPL,93.18659973144531,Information Technology,-0.0020204459851806966
2020-07-20,AAPL,95.15042114257812,Information Technology,0.021074075208155962
2020-07-21,AAPL,93.83716583251953,Information Technology,-0.013801886468697289
2020-07-22,AAPL,94.10078430175781,Information Technology,0.002809318321791432
2020-07-23,AAPL,89.81766510009766,Information Technology,-0.045516296526554534
2020-07-24,AAPL,89.59516906738281,Information Technology,-0.0024771968016189527
2020-07-27,AAPL,91.71857452392578,Information Technology,0.023699999437982955
2020-07-28,AAPL,90.21187591552734,Information Technology,-0.016427409782796
2020-07-29,AAPL,91.94108581542969,Information Technology,0.0191683177226194
2020-07-30,AAPL,93.0535888671875,Information Technology,0.012100173082479682
2020-07-31,AAPL,102.79523468017578,Information Technology,0.10468855561167256
2020-08-03,AAPL,105.38543701171875,Information Technology,0.025197688780047134
2020-08-04,AAPL,106.08921813964844,Information Technology,0.006678163016503147
2020-08-05,AAPL,106.47373962402344,Information Technology,0.0036245104933174677
2020-08-06,AAPL,110.18856811523438,Information Technology,0.034889621650640024
2020-08-07,AAPL,107.68333435058594,Information Technology,-0.022735877301068852
2020-08-10,AAPL,109.24850463867188,Information Technology,0.014534935210960276
2020-08-11,AAPL,105.99945831298828,Information Technology,-0.02973996153475489
2020-08-12,AAPL,109.52225494384766,Information Technology,0.03323410031452689
2020-08-13,AAPL,111.4605484008789,Information Technology,0.017697713200162113
2020-08-14,AAPL,111.36119842529297,Information Technology,-0.0008913465527606856
2020-08-17,AAPL,111.07044982910156,Information Technology,-0.0026108608770626374
2020-08-18,AAPL,111.9959716796875,Information Technology,0.008332746036501915
2020-08-19,AAPL,112.1364974975586,Information Technology,0.0012547399318343366
2020-08-20,AAPL,114.624755859375,Information Technology,0.022189549498552674
2020-08-21,AAPL,120.53166961669922,Information Technology,0.05153261800244091
2020-08-24,AAPL,121.9732894897461,Information Technology,0.011960506957477302
2020-08-25,AAPL,120.9726333618164,Information Technology,-0.008203895558738794
2020-08-26,AAPL,122.61773681640625,Information Technology,0.013598972006086063
2020-08-27,AAPL,121.15192413330078,Information Technology,-0.011954328314672802
2020-08-28,AAPL,120.95567321777344,Information Technology,-0.0016198745247447688
2020-08-31,AAPL,125.05755615234375,Information Technology,0.03391228228861265
2020-09-01,AAPL,130.0388946533203,Information Technology,0.03983236722544259
2020-09-02,AAPL,127.34471130371094,Information Technology,-0.02071828860735847
2020-09-03,AAPL,117.14936828613281,Information Technology,-0.0800609849690791
2020-09-04,AAPL,117.22691345214844,Information Technology,0.0006619341371625342
2020-09-08,AAPL,109.33811950683594,Information Technology,-0.06729507510690091
2020-09-09,AAPL,113.6992416381836,Information Technology,0.03988656610355368
2020-09-10,AAPL,109.98744201660156,Information Technology,-0.032645772901404246
2020-09-11,AAPL,108.54342651367188,Information Technology,-0.013128912505408818
2020-09-14,AAPL,111.79975128173828,Information Technology,0.030000202431938572
2020-09-15,AAPL,111.97417449951172,Information Technology,0.0015601395868394263
2020-09-16,AAPL,108.66942596435547,Information Technology,-0.029513488712262448
2020-09-17,AAPL,106.93467712402344,Information Technology,-0.015963541032240736
2020-09-18,AAPL,103.54267120361328,Information Technology,-0.03172035500211112
2020-09-21,AAPL,106.68268585205078,Information Technology,0.030325802994426887
2020-09-22,AAPL,108.35929107666016,Information Technology,0.015715813781952637
2020-09-23,AAPL,103.81404876708984,Information Technology,-0.04194603217138737
2020-09-24,AAPL,104.8801040649414,Information Technology,0.010268892414005526
2020-09-25,AAPL,108.81478881835938,Information Technology,0.037516026404604164
2020-09-28,AAPL,111.4120864868164,Information Technology,0.023868976787636997
2020-09-29,AAPL,110.5689468383789,Information Technology,-0.007567757458139646
2020-09-30,AAPL,112.23583984375,Information Technology,0.01507559810448078
2020-10-01,AAPL,113.18559265136719,Information Technology,0.00846211699346111
2020-10-02,AAPL,109.53195190429688,Information Technology,-0.032280086727329405
2020-10-05,AAPL,112.90457153320312,Information Technology,0.03079119444391032
